OBJECTID,PARCEL_I,STNUMBER,PRE_DIR,STREET_NAME,SUFFIX,SUF_DIR,FULL_STNAME,CITY,ZIPCODE,ADDRESS,STATUS,SHAPEAREA,SHAPELEN
659000,1009912,2042,,SUGAR GROVE,AVE,,SUGAR GROVE AVE,INDIANAPOLIS,46202,2042 SUGAR GROVE AVE,Abandoned,5210.75191022187,340.202068864885
659004,1095607,4719,E,32ND,ST,,32ND ST,INDIANAPOLIS,46218,4719 E 32ND ST,Abandoned,6239.14744872703,327.969302586838
659012,1014044,4102,,SPANN,AVE,,SPANN AVE,INDIANAPOLIS,46203,4102 SPANN AVE,Abandoned,5438.92953278585,351.984193881454
659035,1075892,2627,N,HARDING,ST,,HARDING ST,INDIANAPOLIS,46208,2627 N HARDING ST,Abandoned,4615.27934151487,273.07506978742
659158,1047266,1055,S,RANDOLPH,ST,,RANDOLPH ST,INDIANAPOLIS,46203,1055 S RANDOLPH ST,Abandoned,5620.39971092289,301.779783153517
659184,1010700,2718,N,OLNEY,ST,,OLNEY ST,INDIANAPOLIS,46218,2718 N OLNEY ST,Abandoned,4902.60740187844,344.397643107255
659219,1075705,718,E,MINNESOTA,ST,,MINNESOTA ST,INDIANAPOLIS,46203,718 E MINNESOTA ST,Abandoned,4025.36366228088,300.02521695038
659226,1027310,973,,WOODRUFF PL MIDDLE,DR,,WOODRUFF PL MIDDLE DR,INDIANAPOLIS,46201,973 WOODRUFF PL MIDDLE DR,Abandoned,6799.98669171297,420.000514967656
659239,1084503,2622,,WINTHROP,AVE,,WINTHROP AVE,INDIANAPOLIS,46205,2626 WINTHROP AVE,Abandoned,5460.06630759208,358.007879728479
659257,1035797,426,N,DENNY,ST,,DENNY ST,INDIANAPOLIS,46201,426 N DENNY ST,Abandoned,5399.70340689104,349.988558308156
659267,1055227,3451,N,CHESTER,AVE,,CHESTER AVE,INDIANAPOLIS,46218,3451 N CHESTER AVE,Abandoned,6071.93284147809,356.012033307616
659360,1052875,2302,N,KENWOOD,AVE,,KENWOOD AVE,INDIANAPOLIS,46208,2302 N KENWOOD AVE,Abandoned,2998.99689426679,230.109368311534
659368,1022262,3109,N,KENWOOD,AVE,,KENWOOD AVE,INDIANAPOLIS,46208,3109 N KENWOOD AVE,Abandoned,4356.13080109077,330.010502372481
659466,1065174,101,N,ELDER,AVE,,ELDER AVE,INDIANAPOLIS,46222,101 N ELDER AVE,Abandoned,6679.88955500668,414.008659549171
659523,1059717,145,,HOEFGEN,ST,,HOEFGEN ST,INDIANAPOLIS,46225,145 HOEFGEN ST,Abandoned,3256.70220496798,236.033893240546
659544,1054640,3737,,ADAMS,ST,,ADAMS ST,INDIANAPOLIS,46218,3737 ADAMS ST,Abandoned,6516.24566103123,394.301150965593
659561,1022113,534,W,26TH,ST,,26TH ST,INDIANAPOLIS,46208,534 W 26TH ST,Abandoned,5027.20089466839,340.589443519278
659609,1065213,2752,,STUART,ST,,STUART ST,INDIANAPOLIS,46218,2752 STUART ST,Abandoned,5158.583180346,345.369004633573
659642,1007336,124,N,GLADSTONE,AVE,,GLADSTONE AVE,INDIANAPOLIS,46201,124 N GLADSTONE AVE,Abandoned,5439.72027183111,351.988651356688
659645,1003529,1932,W,VERMONT,ST,,VERMONT ST,INDIANAPOLIS,46222,1932 W VERMONT ST,Vacant,3413.49213374514,309.338985562434
659694,1073839,444,N,RILEY,AVE,,RILEY AVE,INDIANAPOLIS,46201,444 N RILEY AVE,Abandoned,6620.24960434411,411.023013597416
659745,1052828,2602,,BALTIMORE,AVE,,BALTIMORE AVE,INDIANAPOLIS,46218,2602 BALTIMORE AVE,Vacant,6908.0732852581,365.821835802136
659755,1086257,1952,N,DREXEL,AVE,,DREXEL AVE,INDIANAPOLIS,46218,1952 N DREXEL AVE,Abandoned,4685.95221806467,301.000415424158
659782,1015500,2146,E,34TH,ST,,34TH ST,INDIANAPOLIS,46218,2146 E 34TH ST,Abandoned,7366.00740754948,359.000686444814
659799,1103273,741,,WEGHORST,ST,,WEGHORST ST,INDIANAPOLIS,46203,741 WEGHORST ST,Abandoned,6260.7382113284,402.227798234175
659810,1004785,38,N,GRANT,AVE,,GRANT AVE,INDIANAPOLIS,46201,38 N GRANT AVE,Abandoned,5420.07481653182,351.007883328058
659846,1070223,240,,IOWA,ST,,IOWA ST,INDIANAPOLIS,46225,240 IOWA ST,Abandoned,4416.07161901445,339.997569039832
659848,1022825,2613,,BROOKWAY,ST,,BROOKWAY ST,INDIANAPOLIS,46218,2613 BROOKWAY ST,Abandoned,3885.48890602228,285.312393039493
659860,1011127,1508,,LEXINGTON,AVE,,LEXINGTON AVE,INDIANAPOLIS,46203,1508 LEXINGTON AVE,Abandoned,4378.68583619242,320.209772652135
659869,1026714,3008,,STATION,ST,,STATION ST,INDIANAPOLIS,46218,3008 STATION ST,Abandoned,6799.73394819588,350.014024990669
659881,1071019,334,E,MINNESOTA,ST,,MINNESOTA ST,INDIANAPOLIS,46225,334 E MINNESOTA ST,Abandoned,5227.51377663731,372.207321130243
659955,1014908,354,W,26TH,ST,,26TH ST,INDIANAPOLIS,46208,354 W 26TH ST,Abandoned,5400.53093801896,330.010517944758
660021,1012217,623,,EUGENE,ST,,EUGENE ST,INDIANAPOLIS,46208,623 EUGENE ST,Abandoned,5132.58262231423,336.629758527428
660072,1044288,1033,,TECUMSEH,ST,,TECUMSEH ST,INDIANAPOLIS,46201,1033 TECUMSEH ST,Abandoned,6099.98280944749,384.999614108562
660099,1093069,1251,S,ALABAMA,ST,,ALABAMA ST,INDIANAPOLIS,46225,1251 S ALABAMA ST,Abandoned,1558.43964366656,163.946161803466
660128,1064128,44,,PARKVIEW,AVE,,PARKVIEW AVE,INDIANAPOLIS,46201,44 PARKVIEW AVE,Abandoned,3800.23232763126,276.028918846419
660137,1038284,612,N,RURAL,ST,,RURAL ST,INDIANAPOLIS,46201,612 N RURAL ST,Abandoned,5727.39570657457,366.365410529682
660139,1073744,1014,,VILLA,AVE,,VILLA AVE,INDIANAPOLIS,46203,1014 VILLA AVE,Vacant,4817.61460814909,320.881907579105
660247,1091426,3525,,KINNEAR,AVE,,KINNEAR AVE,INDIANAPOLIS,46218,3525 KINNEAR AVE,Abandoned,5599.71134564519,359.977740298004
660304,1025133,1401,W,33RD,ST,,33RD ST,INDIANAPOLIS,46208,1401 W 33RD ST,Abandoned,3806.59338455843,250.010399858456
660324,1085429,3660,,ARTHINGTON,BLVD,,ARTHINGTON BLVD,INDIANAPOLIS,46218,3660 ARTHINGTON BLVD,Abandoned,7267.49235523796,381.133159194004
660339,1028823,606,N,COLORADO,AVE,,COLORADO AVE,INDIANAPOLIS,46201,606 N COLORADO AVE,Abandoned,5440.30722282734,352.014274908442
660341,1069026,55,N,CHESTER,AVE,,CHESTER AVE,INDIANAPOLIS,46201,55 N CHESTER AVE,Abandoned,5400.06747462991,350.007428060374
660371,1019023,1331,S,RURAL,ST,,RURAL ST,INDIANAPOLIS,46203,1331 S RURAL ST,Abandoned,9576.02849859047,413.603972693798
660373,1065025,1018,S,STATE,AVE,,STATE AVE,INDIANAPOLIS,46203,1018 S STATE AVE,Abandoned,2199.79229956285,189.990243474301
660387,1024887,644,N,TEMPLE,AVE,,TEMPLE AVE,INDIANAPOLIS,46201,644 N TEMPLE AVE,Abandoned,4680.14853501755,318.013791932017
