ZIPCODE,ADDRESS,STATUS
46220,6336 N KEYSTONE AVE,Abandoned
46226,6138 DICKSON RD,Abandoned
46218,3561 FOREST MANOR AVE,Abandoned
46218,2342 COYNER AVE,Abandoned
46208,2331 SHRIVER AVE,Abandoned
46203,2118 FLETCHER AVE,Abandoned
46203,1517 HARLAN ST,Abandoned
46201,1402 N EWING ST,Abandoned
46205,3629 BIRCHWOOD AVE,Vacant
46226,8716 E 41ST PL,Abandoned
46205,2506 COLUMBIA AVE,Abandoned
46218,4709 RIBBLE RD,Abandoned
46208,320 HARVARD PL,Abandoned
46240,1616 E 72ND ST,Abandoned
46218,1630 INGRAM ST,Vacant
46203,611 ST PAUL ST,Abandoned
46201,207 JEFFERSON AVE,Abandoned
46202,2005 DEXTER ST,Abandoned
46201,307 TROWBRIDGE ST,Abandoned
46203,4922 HYPERION CT,Abandoned
46221,1333 OLIVER AVE,Vacant
46225,2457 MADISON AVE,Abandoned
46203,1230 LEXINGTON AVE,Abandoned
46218,2843 ADAMS ST,Vacant
46218,2930 ADAMS ST,Abandoned
46208,2661 BURTON AVE,Abandoned
46205,2554 COLUMBIA AVE,Abandoned
46201,3701 BROOKSIDE PKWY SDR,Abandoned
46203,4349 FLETCHER AVE,Vacant
46218,2224 LANGLEY AVE,Abandoned
46240,8505 COMPTON ST,Abandoned
46208,2447 BOND ST,Abandoned
46218,3632 HILLSIDE AVE,Abandoned
46203,4040 E MINNESOTA ST,Abandoned
46218,2937 N COLORADO AVE,Vacant
46202,2022 MANSFIELD ST,Vacant
46201,552 JEFFERSON AVE,Abandoned
46201,416 N OXFORD ST,Abandoned
46222,726 LYNN ST,Abandoned
46203,1051 HERVEY ST,Abandoned
46208,3638 GRACELAND AVE,Abandoned
46208,1029 EUGENE ST,Vacant
46208,2534 BURTON AVE,Abandoned
46201,1034 JEFFERSON AVE,Abandoned
46201,1419 N EWING ST,Abandoned
46225,75 SCHILLER ST,Abandoned
46203,4330 E NAOMI ST,Abandoned
46218,2138 RALSTON AVE,Abandoned
46201,1027 N KEALING AVE,Abandoned
46201,3712 E NEW YORK ST,Abandoned
46203,1166 VILLA AVE,Abandoned
46201,233 PARKVIEW AVE,Abandoned
46201,2018 SOUTHEASTERN AVE,Abandoned
46225,109 PALMER ST,Abandoned
46201,266 HENDRICKS PL,Abandoned
46218,3231 BALTIMORE AVE,Abandoned
46208,1238 W 25TH ST,Vacant
46201,651 N RURAL ST,Vacant
46201,1021 N TUXEDO ST,Abandoned
46237,5422 SLEET DR,Vacant
46203,1542 CHURCHMAN AVE,Vacant
46201,233 JEFFERSON AVE,Abandoned
46205,3359 RUCKLE ST,Vacant
46221,909 MARION AVE,Vacant
46203,1438 S COLORADO AVE,Abandoned
46201,3019 E 13TH ST,Abandoned
46208,1017 EUGENE ST,Abandoned
46202,2161 BELLEFONTAINE ST,Abandoned
46202,1827 MANSFIELD ST,Abandoned
46208,2822 HIGHLAND PL,Abandoned
46208,976 EUGENE ST,Abandoned
46205,2517 COLUMBIA AVE,Abandoned
46208,3636 SALEM ST,Abandoned
46205,2915 GUILFORD AVE,Vacant
46201,1331 N PARKER AVE,Abandoned
46218,2014 N OXFORD ST,Abandoned
46221,1755 W MORRIS ST,Abandoned
46205,4644 CARVEL AVE,Abandoned
46222,118 NEAL AVE,Abandoned
46218,2019 HOUSTON ST,Abandoned
46203,515 ORANGE ST,Vacant
46254,3932 N LAWNDALE AVE,Abandoned
46226,3910 N GRAND AVE,Abandoned
46208,1334 EDGEMONT AVE,Abandoned
46218,3546 WALLACE AVE,Abandoned
46218,2538 BROUSE AVE,Vacant
46226,4339 DUBARRY RD,Abandoned
46205,4355 NORWALDO AVE,Vacant
46226,8344 MEADOWLARK DR,Abandoned
46201,951 N TUXEDO ST,Abandoned
46208,1065 EUGENE ST,Abandoned
46201,1241 TECUMSEH ST,Abandoned
46235,4017 HAMPSHIRE CT,Abandoned
46221,3150 FOLTZ ST,Abandoned
46260,2016 RIVIERA ST,Abandoned
46218,3005 N EUCLID AVE,Vacant
46205,4448 CAROLINE ST,Abandoned
46218,2047 ROOSEVELT AVE,Abandoned
46201,1302 N OXFORD ST,Abandoned
46201,1217 N PARKER AVE,Abandoned
46226,8737 MONTERY CT,Abandoned
46208,421 W 41ST ST,Abandoned
46208,4073 ROOKWOOD AVE,Abandoned
46208,4123 BOULEVARD PL,Abandoned
46203,1523 SPRUCE ST,Abandoned
46218,2437 SHELDON ST,Abandoned
46241,3007 S LYONS AVE,Abandoned
46205,4508 HILLSIDE AVE,Abandoned
46228,6047 COLONIAL AVE,Vacant
46225,409 LINCOLN ST,Abandoned
46208,710 CONGRESS AVE,Abandoned
46235,4109 BAKER DR,Abandoned
46205,605 E 42ND ST,Vacant
46235,9637 E 42ND ST,Abandoned
46203,1716 DAWSON ST,Abandoned
46201,333 S PARKER AVE,Abandoned
46208,3528 GRACELAND AVE,Vacant
46208,3822 N CAPITOL AVE,Abandoned
46208,1405 EDGEMONT AVE,Abandoned
46226,4111 ARTHINGTON BLVD,Abandoned
46203,1026 ST PETER ST,Abandoned
46203,1229 MADEIRA ST,Abandoned
46202,1145 BATES ST,Vacant
46208,148 W 38TH ST,Abandoned
46218,3306 HOUSTON ST,Abandoned
46218,3357 BROUSE AVE,Abandoned
46208,2944 BOULEVARD PL,Abandoned
46221,6426 MENDENHALL RD,Abandoned
46226,6712 E 38TH ST,Abandoned
46205,2546 COLUMBIA AVE,Abandoned
46202,1860 SUGAR GROVE AVE,Abandoned
46203,2018 HOYT AVE,Abandoned
46208,2518 BURTON AVE,Abandoned
46235,9519 MEADOWLARK DR,Abandoned
46201,202 HENDRICKS PL,Abandoned
46201,1115 N PARKER AVE,Abandoned
46208,3151 BARNES AVE,Abandoned
46201,1218 JEFFERSON AVE,Vacant
46235,3919 KIVET CT,Vacant
46220,6805 BARR WILL DR,Abandoned
46205,2217 BELLEFONTAINE ST,Vacant
46218,1947 RALSTON AVE,Abandoned
46201,1540 N EWING ST,Abandoned
46218,2257 WHEELER ST,Abandoned
46205,2515 GUILFORD AVE,Abandoned
46208,3618 SALEM ST,Abandoned
46226,4010 N BOLTON AVE,Abandoned
46201,1415 N KEALING AVE,Abandoned
46218,3660 ARTHINGTON BLVD,Abandoned
46221,1346 KAPPES ST,Abandoned
46221,3225 S LYONS AVE,Abandoned
46201,635 N GRAY ST,Abandoned
46202,2120 CARROLLTON AVE,Abandoned
46201,6 EASTERN AVE,Abandoned
46205,2534 CARROLLTON AVE,Abandoned
46203,2830 DRAPER ST,Vacant
46225,1667 UNION ST,Abandoned
46208,939 UDELL ST,Abandoned
46218,2807 STATION ST,Abandoned
46225,1810 UNION ST,Abandoned
46201,246 HENDRICKS PL,Abandoned
46201,1347 N GALE ST,Abandoned
46201,199 S SHERMAN DR,Abandoned
46225,51 SCHILLER ST,Abandoned
46208,801 ROACHE ST,Abandoned
46208,2511 BOULEVARD PL,Abandoned
46201,930 N DEARBORN ST,Abandoned
46202,2183 SUGAR GROVE AVE,Abandoned
46203,2714 DAWSON ST,Abandoned
46202,1854 SUGAR GROVE AVE,Abandoned
46208,3331 GRACELAND AVE,Vacant
46201,413 N RURAL ST,Abandoned
46218,1960 ROOSEVELT AVE,Abandoned
46203,1634 ASBURY ST,Abandoned
46201,1406 N OLNEY ST,Abandoned
46218,2401 BROOKSIDE AVE,Abandoned
46203,2342 HOYT AVE,Abandoned
46203,1030 VILLA AVE,Abandoned
46208,3545 GRACELAND AVE,Abandoned
46205,3760 BROADWAY ST,Abandoned
46218,2935 STATION ST,Abandoned
46202,1816 MANSFIELD ST,Vacant
46201,1125 N DEARBORN ST,Vacant
46201,909 N LASALLE ST,Abandoned
46208,1017 ROACHE ST,Abandoned
46208,905 EUGENE ST,Abandoned
46203,2525 PROSPECT ST,Abandoned
46208,1242 UDELL ST,Abandoned
46201,2022 BROOKSIDE AVE,Abandoned
46201,834 N LASALLE ST,Abandoned
46201,592 WOODRUFF PL MIDDLE DR,Vacant
46208,2665 BURTON AVE,Abandoned
46208,2337 INDIANAPOLIS AVE,Abandoned
46218,2012 GLENRIDGE DR,Abandoned
46208,3147 BARNES AVE,Abandoned
46201,3542 E 10TH ST,Abandoned
46202,1437 REMBRANDT ST,Vacant
46201,750 CARLYLE PL,Abandoned
46218,1910 N EUCLID AVE,Abandoned
46208,1066 EUGENE ST,Abandoned
46240,1804 RANDALL RD,Vacant
46201,605 JEFFERSON AVE,Abandoned
46218,1830 TALLMAN AVE,Abandoned
46208,2874 HIGHLAND PL,Abandoned
46218,2401 ADAMS ST,Abandoned
46205,3318 CARROLLTON AVE,Abandoned
46218,2842 N DENNY ST,Abandoned
46222,126 KOEHNE ST,Vacant
46201,1518 N KEALING AVE,Abandoned
46218,3501 ORCHARD AVE,Abandoned
46205,3508 GUILFORD AVE,Vacant
46203,1436 LEXINGTON AVE,Abandoned
46208,3018 N CALIFORNIA ST,Abandoned
46221,3221 FOLTZ ST,Abandoned
46208,1310 EDGEMONT AVE,Abandoned
46226,3853 N GRAND AVE,Abandoned
46201,3318 E 10TH ST,Abandoned
46235,9952 MONTERY RD,Abandoned
46235,4039 STRATFORD CT,Vacant
46226,5546 GLENCOE ST,Vacant
46205,4440 EVANSTON AVE,Abandoned
46241,3032 MARS HILL ST,Vacant
46226,8821 E 41ST PL,Abandoned
46235,4110 DOWNES DR,Abandoned
46260,1743 HORIZON LN,Vacant
46205,4206 KINGSLEY DR,Vacant
46226,3833 N IRVINGTON AVE,Abandoned
46226,8102 E 42ND ST,Abandoned
46226,3902 N GRAND AVE,Abandoned
46254,4351 FALCON CREEK BLVD,Abandoned
46256,8131 BAY BROOK DR,Abandoned
46241,6332 SHARROB RD,Abandoned
46205,3933 BROADWAY ST,Abandoned
46205,4810 N COLLEGE AVE,Abandoned
46254,4048 GATEWAY CT,Vacant
46205,4355 NORWALDO AVE,Abandoned
46205,2033 E 44TH ST,Abandoned
46221,3344 COLLIER ST,Abandoned
46226,3933 N SADLIER DR,Vacant
46226,8718 ELMONTE DR,Vacant
46219,365 S CATHERWOOD AVE,Abandoned
46219,5961 RAWLES AVE,Abandoned
46219,227 N FENTON AVE,Vacant
46219,613 S GRAND AVE,Vacant
46219,101 S EMERSON AVE,Vacant
46219,6052 E WASHINGTON ST,Abandoned
46229,10202 E WASHINGTON ST,Vacant
46229,10202 E WASHINGTON ST,Vacant
46219,5232 E 10TH ST,Abandoned
46219,5943 SHIMER AVE,Vacant
46219,101 S EMERSON AVE,Vacant
46219,1498 N POST RD,Vacant
46219,5133 BROOKVILLE RD,Abandoned
46219,347 CAMPUS LN,Vacant
46219,117 S ARLINGTON AVE,Abandoned
46219,8419 E 13TH ST,Abandoned
46219,751 N LELAND AVE,Abandoned
46219,925 N GIBSON AVE,Abandoned
46219,114 S SHERIDAN AVE,Abandoned
46219,115 S SHERIDAN AVE,Abandoned
46219,6107 E 11TH ST,Abandoned
46219,6241 E 11TH ST,Abandoned
46219,217 S ARLINGTON AVE,Abandoned
46219,5729 RAWLES AVE,Abandoned
46219,40 S ARLINGTON AVE,Abandoned
46239,912 TANNINGER DR,Abandoned
46219,5207 E WASHINGTON ST,Abandoned
46219,301 N HARBISON AVE,Vacant
46229,10202 E WASHINGTON ST,Vacant
46219,8531 E MICHIGAN ST,Abandoned
46229,1315 SCHLEICHER AVE,Abandoned
46203,753 S EMERSON AVE,Abandoned
46219,717 S GRAND AVE,Abandoned
46219,5911 BEECHWOOD AVE,Abandoned
46219,22 S WEBSTER AVE,Abandoned
46219,5101 BURGESS AVE,Abandoned
46229,10202 E WASHINGTON ST,Abandoned
46219,946 N FENTON AVE,Vacant
46219,701 S GRAND AVE,Abandoned
46219,316 N BAZIL AVE,Abandoned
46219,7744 SERENE STREAM WAY,Abandoned
46219,369 S WEBSTER AVE,Vacant
46219,7203 E 14TH ST,Vacant
46229,2010 N MITTHOEFER RD,Abandoned
46219,7301 E 30TH ST,Abandoned
46235,10530 MOQUI CT,Abandoned
46235,9136 E 36TH ST,Abandoned
46218,1615 N BOLTON AVE,Abandoned
46229,1910 FAIRMONT CT,Abandoned
46218,2641 N BUTLER AVE,Abandoned
46218,2652 N BUTLER AVE,Abandoned
46218,3505 N LELAND AVE,Abandoned
46218,3501 N EMERSON AVE,Vacant
46219,1930 N RICHARDT AVE,Abandoned
46218,2208 N SPENCER AVE,Abandoned
46218,3224 LESLEY AVE,Abandoned
46235,3509 N WITTFIELD ST,Abandoned
46229,10246 NASSAU LN,Vacant
46218,2221 N LELAND AVE,Vacant
46218,2704 N BUTLER AVE,Abandoned
46218,3291 N WHITTIER PL,Abandoned
46235,9049 E 34TH ST,Abandoned
46235,3702 N BRENTWOOD AVE,Abandoned
46219,1812 ELMHURST DR,Vacant
46219,6231 COMMODORE DR,Vacant
46218,2221 N LELAND AVE,Abandoned
46218,2413 N BOLTON AVE,Abandoned
46218,2330 N ARLINGTON AVE,Abandoned
46219,6243 RALEIGH DR,Vacant
46219,2608 SICKLE RD,Abandoned
46218,3031 N RITTER AVE,Abandoned
46226,3024 RADFORD DR,Abandoned
46219,1864 N ROUTIERS AVE,Abandoned
46229,10023 HAWKINS CT,Abandoned
46218,2417 N BOLTON AVE,Abandoned
46219,8234 GILMORE RD,Vacant
46219,8310 GILMORE RD,Abandoned
46218,3519 N BUTLER AVE,Abandoned
46218,3618 N HAWTHORNE LN,Vacant
46218,1730 N AUDUBON RD,Abandoned
46218,1920 N HAWTHORNE LN,Abandoned
46226,3018 N SHORTRIDGE RD,Abandoned
46218,3524 N HAWTHORNE LN,Abandoned
46226,3625 PAYTON AVE,Abandoned
46218,5607 E 19TH ST,Abandoned
46218,2421 N BOLTON AVE,Vacant
46218,3330 N DOWNEY AVE,Abandoned
46219,6700 E 21ST ST,Abandoned
46219,6268 WINDSOR DR,Vacant
46219,7926 BRENNAN RD,Abandoned
46218,5811 E 18TH ST,Vacant
46219,2161 ADMIRAL DR,Vacant
46218,2239 N LELAND AVE,Vacant
46219,2407 N WEBSTER AVE,Abandoned
46219,2491 N KITLEY AVE,Abandoned
46229,2764 FAIRHAVEN DR,Abandoned
46235,3049 PAWNEE DR,Abandoned
46218,3111 N BOLTON AVE,Abandoned
46218,3425 N BUTLER AVE,Abandoned
46219,2118 ADMIRAL DR,Abandoned
46219,6232 COMMODORE DR,Abandoned
46219,3109 ELMHURST DR,Abandoned
46218,5314 E 33RD ST,Abandoned
46226,7210 E 33RD ST,Abandoned
46226,3645 DUBARRY RD,Abandoned
46218,2134 N BUTLER AVE,Abandoned
46218,2269 N RITTER AVE,Abandoned
46218,3325 N HAWTHORNE LN,Abandoned
46218,2138 N LELAND AVE,Abandoned
46219,2150 ADMIRAL DR,Abandoned
46229,10144 GABLE CT,Abandoned
46218,5927 E 23RD ST,Abandoned
46219,8226 CROUSORE RD,Vacant
46226,7608 E 34TH PL,Vacant
46235,9029 E 36TH ST,Abandoned
46219,6455 E 16TH ST,Abandoned
46229,10153 LAWNHAVEN DR,Abandoned
46219,2232 ADMIRAL DR,Abandoned
46229,2239 CHRIS CT,Vacant
46219,6202 NIMITZ DR,Abandoned
46229,9038 E 25TH ST,Abandoned
46219,2514 N ROUTIERS AVE,Abandoned
46219,2725 EBBIE RD,Vacant
46218,2947 N HAWTHORNE LN,Abandoned
46226,3314 ENGLEWOOD DR,Abandoned
46226,3637 N SADLIER DR,Abandoned
46219,6159 COMMODORE DR,Vacant
46218,2155 N RITTER AVE,Abandoned
46219,2313 N CATHERWOOD AVE,Abandoned
46235,10031 RIDGEFIELD DR,Abandoned
46218,1865 BAUER RD,Abandoned
46218,1832 N SPENCER AVE,Abandoned
46219,6046 E 21ST ST,Abandoned
46219,6113 RALEIGH DR,Abandoned
46219,8914 ROY RD,Abandoned
46226,6015 E 34TH ST,Abandoned
46226,6711 E 34TH ST,Vacant
46235,9036 E 36TH ST,Abandoned
46235,3749 N WITTFIELD ST,Abandoned
46235,3758 BLACK LOCUST DR,Vacant
46218,3712 N BUTLER AVE,Abandoned
46226,3714 DECAMP DR,Abandoned
46226,3706 JOAN PL,Abandoned
46218,3715 N BUTLER AVE,Vacant
46226,3715 DUBARRY RD,Abandoned
46226,3723 DUBARRY RD,Abandoned
46218,2362 WHEELER ST,Abandoned
46208,2947 HIGHLAND PL,Abandoned
46208,1141 W 35TH ST,Abandoned
46208,1249 W 26TH ST,Vacant
46218,2935 N DEARBORN ST,Abandoned
46208,301 W 26TH ST,Abandoned
46208,3620 N ILLINOIS ST,Abandoned
46203,2028 HOYT AVE,Vacant
46203,1829 CHURCHMAN AVE,Vacant
46225,1401 S ALABAMA ST,Vacant
46222,2010 W 11TH ST,Abandoned
46201,934 N GLADSTONE AVE,Abandoned
46203,1116 DAWSON ST,Abandoned
46225,530 E MINNESOTA ST,Abandoned
46208,1229 EUGENE ST,Abandoned
46225,342 E MINNESOTA ST,Abandoned
46208,1415 W 28TH ST,Abandoned
46225,1133 S ILLINOIS ST,Abandoned
46208,3317 N CAPITOL AVE,Abandoned
46202,2145 SUGAR GROVE AVE,Abandoned
46218,2932 STATION ST,Abandoned
46203,1641 CHURCHMAN AVE,Abandoned
46201,163 HARLAN ST,Abandoned
46201,2007 SOUTHEASTERN AVE,Abandoned
46201,317 N DENNY ST,Vacant
46201,828 N GLADSTONE AVE,Abandoned
46203,2230 PLEASANT ST,Abandoned
46201,275 HENDRICKS PL,Abandoned
46225,1754 S DELAWARE ST,Abandoned
46218,1951 RALSTON AVE,Vacant
46201,32 N DENNY ST,Abandoned
46203,1156 CHURCHMAN AVE,Vacant
46201,41 HENDRICKS PL,Abandoned
46201,262 EASTERN AVE,Abandoned
46203,1601 DAWSON ST,Abandoned
46208,1417 W 32ND ST,Abandoned
46221,806 WARREN AVE,Vacant
46203,1406 FINLEY AVE,Abandoned
46218,3038 RALSTON AVE,Abandoned
46218,1826 TALLMAN AVE,Abandoned
46218,3137 MANOR CT,Vacant
46218,2926 E 18TH ST,Abandoned
46218,1927 N DEARBORN ST,Abandoned
46218,2829 N OLNEY ST,Abandoned
46218,3454 N EMERSON AVE,Abandoned
46218,2710 STATION ST,Vacant
46218,2522 E 25TH ST,Abandoned
46218,3101 N TEMPLE AVE,Abandoned
46218,1938 HOUSTON ST,Abandoned
46218,2536 E 18TH ST,Abandoned
46208,1115 UDELL ST,Vacant
46208,1115 UDELL ST,Vacant
46202,2157 BELLEFONTAINE ST,Abandoned
46201,2626 E MICHIGAN ST,Abandoned
46218,3020 HOVEY ST,Vacant
46208,1221 W 33RD ST,Abandoned
46201,629 EASTERN AVE,Abandoned
46208,1001 W 28TH ST,Abandoned
46203,1646 HOEFGEN ST,Abandoned
46203,3609 WOODCLIFF DR,Abandoned
46208,3244 N KENWOOD AVE,Abandoned
46208,633 UDELL ST,Abandoned
46205,2530 GUILFORD AVE,Abandoned
46205,725 E 23RD ST,Abandoned
46208,625 W 28TH ST,Vacant
46208,2402 N KENWOOD AVE,Abandoned
46208,1432 W 27TH ST,Vacant
46225,411 IOWA ST,Vacant
46203,1399 HOEFGEN ST,Abandoned
46218,3601 N RURAL ST,Abandoned
46225,1801 S TALBOTT ST,Abandoned
46201,410 WALLACE AVE,Abandoned
46205,3109 N PARK AVE,Abandoned
46203,639 PROSPECT ST,Abandoned
46201,852 N TACOMA AVE,Abandoned
46201,830 N TEMPLE AVE,Abandoned
46218,3620 WALLACE AVE,Abandoned
46218,1409 E 33RD ST,Abandoned
46218,4701 E 38TH ST,Vacant
46225,1401 CHARLES ST,Abandoned
46201,429 N COLORADO AVE,Abandoned
46202,2178 GENT AVE,Vacant
46218,2732 N DEARBORN ST,Abandoned
46201,607 N KEYSTONE AVE,Abandoned
46205,3255 CENTRAL AVE,Abandoned
46208,1242 W 32ND ST,Vacant
46208,1034 W 32ND ST,Vacant
46208,426 CONGRESS AVE,Abandoned
46221,640 MARION AVE,Abandoned
46208,932 EDGEMONT AVE,Vacant
46203,1009 CHURCHMAN AVE,Abandoned
46205,2846 WINTHROP AVE,Vacant
46201,809 N GLADSTONE AVE,Abandoned
46205,3217 BROADWAY ST,Vacant
46218,2010 ADAMS ST,Abandoned
46201,426 N BEVILLE AVE,Abandoned
46218,1520 E 30TH ST,Abandoned
46203,1831 SINGLETON ST,Abandoned
46203,1841 APPLEGATE ST,Abandoned
46218,2702 N OLNEY ST,Abandoned
46201,879 N GRANT AVE,Vacant
46201,302 N STATE AVE,Abandoned
46218,2621 BROOKWAY ST,Abandoned
46218,3541 N PARKER AVE,Abandoned
46218,2816 STUART ST,Abandoned
46205,641 E 31ST ST,Vacant
46208,1101 W 35TH ST,Vacant
46225,1215 UNION ST,Abandoned
46218,4825 E 21ST ST,Abandoned
46208,601 W 29TH ST,Abandoned
46201,57 N EWING ST,Abandoned
46203,3925 FLETCHER AVE,Abandoned
46201,901 N RURAL ST,Abandoned
46201,2811 E 11TH ST,Abandoned
46201,3412 E 09TH ST,Abandoned
46201,846 N PARKER AVE,Abandoned
46201,941 N LASALLE ST,Abandoned
46201,811 N DEARBORN ST,Abandoned
46201,452 N GRAY ST,Abandoned
46201,808 N PARKER AVE,Vacant
46201,539 N OXFORD ST,Abandoned
46201,811 N OXFORD ST,Vacant
46203,1753 S RANDOLPH ST,Abandoned
46218,2945 N GLADSTONE AVE,Abandoned
46218,2935 N EUCLID AVE,Abandoned
46201,1225 N EWING ST,Abandoned
46201,1426 N EWING ST,Abandoned
46218,3216 E 25TH ST,Abandoned
46201,3049 NEWTON AVE,Vacant
46218,2445 N ARSENAL AVE,Abandoned
46218,3844 E 30TH ST,Abandoned
46208,244 W 31ST ST,Abandoned
46226,3841 N GRAND AVE,Abandoned
46241,3113 S LYONS AVE,Vacant
46208,521 W 42ND ST,Abandoned
46226,4019 ALSACE CT,Abandoned
46208,3905 BOULEVARD PL,Abandoned
46226,3913 N BUTLER AVE,Abandoned
46226,4101 N RITTER AVE,Abandoned
46226,4060 DESMOND AVE,Abandoned
46235,9938 ELLIS DR,Abandoned
46208,3850 N KENWOOD AVE,Abandoned
46226,3925 N RIDGEVIEW DR,Abandoned
46208,3847 GRACELAND AVE,Abandoned
46235,4037 STRATFORD CT,Abandoned
46208,340 W 38TH ST,Abandoned
46226,8516 ATHENS CT,Vacant
46205,2014 CLAY ST,Vacant
46205,1814 E 46TH ST,Abandoned
46205,4418 CAROLINE ST,Abandoned
46226,4260 E 42ND ST,Vacant
46235,10029 MEADOWLARK MANOR ,Abandoned
46260,2208 RIVIERA ST,Vacant
46240,1737 E 72ND ST,Vacant
46203,2044 LAUREL ST,Abandoned
46219,5207 BROOKVILLE RD,Vacant
46202,1702 N ALABAMA ST,Vacant
46239,1102 S FRANKLIN RD,Abandoned
46219,5831 BEECHWOOD AVE,Abandoned
46208,1067 ROACHE ST,Abandoned
46203,1910 S ARLINGTON AVE,Abandoned
46218,5430 E 21ST ST,Abandoned
46219,101 S SHERIDAN AVE,Abandoned
46219,2238 BARNOR DR,Abandoned
46202,2101 N HARDING ST,Abandoned
46229,2827 ROUARK CIR,Vacant
46218,3124 PRISCILLA AVE,Abandoned
46235,9319 ROCHELLE DR,Abandoned
46202,1716 REMBRANDT ST,Vacant
46218,1611 N RURAL ST,Abandoned
46201,209 N FOREST AVE,Abandoned
46225,612 LINCOLN ST,Abandoned
46203,3102 E TABOR ST,Abandoned
46201,3710 E WASHINGTON ST,Vacant
46201,3709 E MARKET ST,Abandoned
46201,337 S TEMPLE AVE,Abandoned
46208,949 W 32ND ST,Abandoned
46203,1154 E GIMBER ST,Abandoned
46203,1826 BARTH AVE,Abandoned
46218,2019 ADAMS ST,Abandoned
46218,2406 STUART ST,Abandoned
46203,1213 MADEIRA ST,Abandoned
46218,2909 STATION ST,Abandoned
46218,1955 RALSTON AVE,Abandoned
46208,3645 GRACELAND AVE,Abandoned
46201,260 S RURAL ST,Abandoned
46202,1917 YANDES ST,Abandoned
46218,3222 N TACOMA AVE,Abandoned
46205,2340 GUILFORD AVE,Vacant
46222,525 LYNN ST,Abandoned
46201,337 N TEMPLE AVE,Vacant
46208,311 W 32ND ST,Abandoned
46201,39 WOODLAND DR,Vacant
46201,541 TROWBRIDGE ST,Abandoned
46201,721 N SHERMAN DR,Abandoned
46201,853 N TACOMA AVE,Abandoned
46203,817 VILLA AVE,Abandoned
46201,19 WOODLAND DR,Abandoned
46225,1529 S ALABAMA ST,Vacant
46225,1801 S DELAWARE ST,Abandoned
46203,1321 SPRUCE ST,Vacant
46222,275 N ELDER AVE,Abandoned
46218,1941 KILDARE AVE,Abandoned
46218,2307 N LASALLE ST,Abandoned
46218,2755 N GALE ST,Abandoned
46201,31 S SHERMAN DR,Abandoned
46208,3242 N CAPITOL AVE,Abandoned
46203,1234 HARLAN ST,Vacant
46205,3339 BROADWAY ST,Vacant
46208,3239 BOULEVARD PL,Abandoned
46208,1117 W 35TH ST,Abandoned
46208,1321 W 26TH ST,Abandoned
46208,1463 CONGRESS AVE,Abandoned
46208,2627 SHRIVER AVE,Abandoned
46205,2908 WINTHROP AVE,Abandoned
46208,1231 W 26TH ST,Vacant
46202,2138 GENT AVE,Abandoned
46201,1109 N RURAL ST,Abandoned
46208,2701 ETHEL AVE,Abandoned
46218,2830 E 19TH ST,Abandoned
46208,2278 INDIANAPOLIS AVE,Abandoned
46218,2510 BALTIMORE AVE,Abandoned
46203,556 LEEDS AVE,Abandoned
46201,2022 E MARYLAND ST,Abandoned
46208,2189 N HARDING ST,Abandoned
46218,1947 TALLMAN AVE,Abandoned
46218,1999 N LASALLE ST,Abandoned
46201,1530 E MARKET ST,Vacant
46208,653 W 30TH ST,Abandoned
46218,2831 E 17TH ST,Abandoned
46208,1149 W 31ST ST,Abandoned
46201,49 N EWING ST,Vacant
46218,3365 N COLORADO AVE,Abandoned
46201,611 N SHERMAN DR,Abandoned
46205,2722 COLUMBIA AVE,Vacant
46218,2956 WALLACE AVE,Abandoned
46201,238 HENDRICKS PL,Abandoned
46218,4015 E 31ST ST,Abandoned
46203,635 E MINNESOTA ST,Abandoned
46225,414 PARKWAY AVE,Abandoned
46208,3540 N CAPITOL AVE,Abandoned
46201,1601 E VERMONT ST,Vacant
46203,1230 CRUFT ST,Vacant
46218,3210 E 34TH ST,Abandoned
46202,1843 N HARDING ST,Abandoned
46218,2511 SCHOFIELD AVE,Abandoned
46203,1330 LEXINGTON AVE,Abandoned
46218,3410 E 23RD ST,Vacant
46201,330 S TEMPLE AVE,Abandoned
46208,3430 N KENWOOD AVE,Abandoned
46208,1337 W 26TH ST,Abandoned
46218,3613 E 30TH ST,Abandoned
46218,2260 ADAMS ST,Abandoned
46208,1215 W 29TH ST,Abandoned
46225,2215 S DELAWARE ST,Abandoned
46218,2709 N OLNEY ST,Abandoned
46208,3342 RADER ST,Abandoned
46201,319 S RANDOLPH ST,Abandoned
46201,2361 SOUTHEASTERN AVE,Abandoned
46203,2809 DRAPER ST,Vacant
46203,1860 APPLEGATE ST,Abandoned
46201,124 N GRANT AVE,Abandoned
46201,836 EASTERN AVE,Vacant
46208,3317 BOULEVARD PL,Abandoned
46201,1712 E MARYLAND ST,Abandoned
46218,3142 N TEMPLE AVE,Abandoned
46201,422 EASTERN AVE,Abandoned
46203,814 S STATE AVE,Abandoned
46203,1621 HOEFGEN ST,Abandoned
46208,2939 HIGHLAND PL,Abandoned
46203,2017 CALHOUN ST,Vacant
46208,1348 W 33RD ST,Abandoned
46205,551 E 36TH ST,Vacant
46218,2021 ADAMS ST,Abandoned
46203,1015 S STATE AVE,Vacant
46208,2722 BOULEVARD PL,Abandoned
46208,3555 N KENWOOD AVE,Abandoned
46208,1229 CONGRESS AVE,Abandoned
46218,2411 N LASALLE ST,Abandoned
46203,1205 SPRUCE ST,Abandoned
46221,1733 LAMBERT ST,Abandoned
