ZIPCODE,ADDRESS,STATUS
46218,3718 KINNEAR AVE,Abandoned
46218,3438 CAROLINE AVE,Abandoned
46201,50 S OXFORD ST,Vacant
46218,2951 N GLADSTONE AVE,Abandoned
46218,2961 N GLADSTONE AVE,Abandoned
46218,2910 N GLADSTONE AVE,Abandoned
46218,3719 HILLSIDE AVE,Vacant
46218,3707 HILLSIDE AVE,Abandoned
46218,3523 N KEYSTONE AVE,Abandoned
46218,3437 N TACOMA AVE,Abandoned
46218,2302 E 37TH ST,Abandoned
46218,2934 N GLADSTONE AVE,Abandoned
46218,3542 N KEYSTONE AVE,Abandoned
46218,3734 HILLSIDE AVE,Abandoned
46205,3438 BIRCHWOOD AVE,Abandoned
46205,1131 FAIRFIELD AVE,Abandoned
46218,2968 FOREST MANOR AVE,Vacant
46218,3444 N RURAL ST,Abandoned
46218,3415 BROUSE AVE,Abandoned
46218,3746 BALTIMORE AVE,Abandoned
46218,3706 BALTIMORE AVE,Vacant
46218,3741 N TACOMA AVE,Abandoned
46218,3701 N TACOMA AVE,Abandoned
46218,3428 N TEMPLE AVE,Abandoned
46218,3701 N OXFORD ST,Abandoned
46218,3712 N RURAL ST,Abandoned
46218,3701 N RURAL ST,Abandoned
46218,3450 N PARKER AVE,Abandoned
46205,3622 HEMLOCK AVE,Abandoned
46218,3729 N PARKER AVE,Abandoned
46218,3744 N LASALLE ST,Abandoned
46221,1226 S RICHLAND ST,Abandoned
46221,1245 S BELMONT AVE,Vacant
46205,3320 N NEW JERSEY ST,Abandoned
46221,1209 SHEPARD ST,Abandoned
46221,1228 S REISNER ST,Abandoned
46221,1252 S REISNER ST,Abandoned
46201,1425 N TUXEDO ST,Abandoned
46218,3316 RALSTON AVE,Abandoned
46202,710 N HIGHLAND AVE,Abandoned
46202,548 N HIGHLAND AVE,Abandoned
46201,953 N DEARBORN ST,Abandoned
46201,937 N EWING ST,Abandoned
46225,2169 MADISON AVE,Abandoned
46208,1052 W 35TH ST,Abandoned
46208,1049 W 35TH ST,Vacant
46208,1045 W 35TH ST,Abandoned
46208,3506 CLIFTON ST,Abandoned
46208,1058 W 35TH ST,Abandoned
46218,3452 N CHESTER AVE,Abandoned
46218,3443 N CHESTER AVE,Abandoned
46218,3412 N DENNY ST,Abandoned
46221,1315 S REISNER ST,Abandoned
46201,921 N EWING ST,Vacant
46201,909 N EWING ST,Abandoned
46201,901 N EWING ST,Abandoned
46218,1622 E 34TH ST,Abandoned
46218,3350 HOVEY ST,Abandoned
46218,3308 SCHOFIELD AVE,Abandoned
46218,3354 HOVEY ST,Abandoned
46208,2257 N HARDING ST,Vacant
46208,2193 N HARDING ST,Abandoned
46218,3315 SCHOFIELD AVE,Abandoned
46201,2601 E NEW YORK ST,Vacant
46202,1226 W 21ST ST,Abandoned
46202,1421 HERSCHELL AVE,Abandoned
46225,1117 S EAST ST,Vacant
46218,3707 E 35TH ST,Abandoned
46202,1501 W 22ND ST,Vacant
46208,1415 W 23RD ST,Abandoned
46201,3329 E NEW YORK ST,Abandoned
46201,3333 ROBSON ST,Abandoned
46201,3315 E VERMONT ST,Abandoned
46201,310 N KEALING AVE,Abandoned
46218,3343 N ARSENAL AVE,Abandoned
46218,3359 N GRANT AVE,Vacant
46218,3334 N CHESTER AVE,Abandoned
46218,3635 N GALE ST,Abandoned
46218,3716 E 34TH ST,Abandoned
46225,255 E CAVEN ST,Abandoned
46208,1445 W 34TH ST,Abandoned
46208,1425 W 34TH ST,Abandoned
46201,448 N STATE AVE,Vacant
46201,419 N GRAY ST,Vacant
46201,429 N OAKLAND AVE,Abandoned
46201,325 N OAKLAND AVE,Abandoned
46201,433 N OAKLAND AVE,Vacant
46225,917 S KENWOOD AVE,Vacant
46225,942 S KENWOOD AVE,Abandoned
46201,325 N LASALLE ST,Abandoned
46201,441 N OAKLAND AVE,Abandoned
46201,408 N DEARBORN ST,Abandoned
46201,2938 E MICHIGAN ST,Abandoned
46201,2801 E MICHIGAN ST,Abandoned
46201,403 N GRAY ST,Vacant
46201,445 N GRAY ST,Abandoned
46201,2942 E MICHIGAN ST,Abandoned
46201,825 N PARKER AVE,Abandoned
46201,625 N PARKER AVE,Abandoned
46201,821 N PARKER AVE,Abandoned
46201,928 N PARKER AVE,Vacant
46201,646 N PARKER AVE,Abandoned
46201,921 N OAKLAND AVE,Abandoned
46201,816 N PARKER AVE,Abandoned
46201,917 N PARKER AVE,Abandoned
46201,920 N PARKER AVE,Abandoned
46201,925 N OAKLAND AVE,Abandoned
46201,813 N PARKER AVE,Abandoned
46201,635 N OXFORD ST,Abandoned
46201,949 N OXFORD ST,Abandoned
46201,908 N RURAL ST,Abandoned
46201,937 N OXFORD ST,Abandoned
46201,931 N RURAL ST,Abandoned
46201,3504 E 10TH ST,Abandoned
46201,3534 E 10TH ST,Vacant
46201,911 N KEALING AVE,Abandoned
46201,1430 N DENNY ST,Abandoned
46201,3535 E VERMONT ST,Vacant
46201,3601 E VERMONT ST,Abandoned
46201,445 N SHERMAN DR,Abandoned
46201,552 N OXFORD ST,Abandoned
46201,528 N OXFORD ST,Abandoned
46201,535 N PARKER AVE,Abandoned
46201,533 N PARKER AVE,Abandoned
46201,520 N GRAY ST,Abandoned
46201,555 N DEARBORN ST,Abandoned
46201,521 N DEARBORN ST,Abandoned
46201,1904 E MARYLAND ST,Abandoned
46201,334 JEFFERSON AVE,Abandoned
46203,1517 S OXFORD ST,Vacant
46208,815 W 28TH ST,Abandoned
46203,1046 CHURCHMAN AVE,Abandoned
46203,1048 CHURCHMAN AVE,Abandoned
46201,1645 SOUTHEASTERN AVE,Abandoned
46218,3707 CAROLINE AVE,Abandoned
46205,2401 N TALBOTT ST,Vacant
46225,1230 S SENATE AVE,Abandoned
46208,1029 W 30TH ST,Abandoned
46208,1015 W 30TH ST,Vacant
46218,2951 N DENNY ST,Abandoned
46218,4925 RIBBLE RD,Abandoned
46202,2170 GENT AVE,Abandoned
46208,1328 W 34TH ST,Abandoned
46205,540 E 32ND ST,Abandoned
46221,1260 STANDARD AVE,Abandoned
46205,619 E 32ND ST,Abandoned
46208,519 W 32ND ST,Vacant
46218,4301 E 30TH ST,Vacant
46218,4315 E 30TH ST,Abandoned
46218,4311 E 30TH ST,Abandoned
46218,4606 E 30TH ST,Abandoned
46203,929 SANDERS ST,Abandoned
46202,2193 GENT AVE,Abandoned
46208,1039 W 37TH ST,Abandoned
46201,1638 ENGLISH AVE,Abandoned
46201,1618 ENGLISH AVE,Abandoned
46202,723 N CLEVELAND ST,Abandoned
46203,3542 E TERRACE AVE,Abandoned
46208,1274 W 26TH ST,Abandoned
46208,1326 W 26TH ST,Abandoned
46208,1333 W 23RD ST,Abandoned
